|Inspector Singh Investigates: A Curious Indian Cadaver|http://img5.flixcart.com//image/book/4/2/3/inspector-singh-investigates-a-curious-indian-cadaver-275x275-imad7q2zgthameug.jpeg|Shamini Flint#Books%Literature and Fiction%Crime#074995342X#9780749953423#Paperback#2012#Piatkus#N.A.#English|074995342X|9780749953423|
|One Who Walks: Seeking inspiration in strange times|http://img8.flixcart.com/image/book/9/9/6/one-who-walks-seeking-inspiration-in-strange-times-275x275-imad8ba5dnhuhq5u.jpeg|Sanjeev Chhiber#Books%Literature and Fiction%Literary Collections%Literary#817234399X#9788172343996#Paperback#2012#Fingerprint Publishing#1stEdition#English|817234399X|9788172343996|
|Corporate Chanakya on Management (With CD)|http://img5.flixcart.com/image/book/4/2/8/corporate-chanakya-on-management-with-audio-book-275x275-imad84fxvhznzbty.jpeg|Radhakrishnan Illai#Books%Business%Investing and Management%Management#8184953429#9788184953428#Paperback#2012#Jaico Publishing House#1stEdition#English|8184953429|9788184953428|
|Driving Holidays Across India|http://img6.flixcart.com/image/book/1/5/4/insights-compilation-of-200-stories-on-the-insights-of-life-volume-2-275x275-imad86p683bsscaw.jpeg|N.A.#Books%Travel%India#8189449354#9788189449353#Paperback#2012#Outlook#2ndEdition#English|8189449354|9788189449353|
|Vimana|http://img6.flixcart.com/image/book/3/1/2/vimana-275x275-imad7xjeek4cuqjp.jpeg|Mainak Dhar#Books%Literature and Fiction%Others%War and Military#0143332317#9780143332312#Paperback#2012#Penguin Young Adult#N.A.#English|0143332317|9780143332312|
|How to Unblock everything on the Internet/Windows Hacking 2.0 (Set Of 2 Books)|http://img7.flixcart.com//image/book/5/3/5/how-to-unblock-everything-on-the-internet-windows-hacking-2-0-set-of-2-books-275x275-imad6gj2dyrv9h9z.jpeg|Ankit Fadia#Books%Computers and Internet%Security%Hacking#5111128535#9785111128535#Paperback#2012#Vikas Publishing House Pvt. Ltd.#N.A.#English|5111128535|9785111128535|
|Flame: The Story of My Mother Shahnaz Husain|http://img7.flixcart.com/image/book/6/9/3/flame-the-story-of-my-mother-shahnaz-husain-275x275-imad9hjvhq7fn6b3.jpeg|Nelofar Currimbhoy#Books%Biographies and Autobiographies%Women#935009469X#9789350094693#Paperback#2012#Hachette India#N.A.#English|935009469X|9789350094693|
|The Rogue: The Traitor Spy Trilogy (Book - 2)|http://img6.flixcart.com//image/book/9/4/1/the-rogue-the-traitor-spy-trilogy-book-2-275x275-imad7q2z5azebcxs.jpeg|Trudi Canavan#Books%Literature and Fiction%Science Fiction#1841495948#9781841495941#Paperback#2012#Orbit#N.A.#English|1841495948|9781841495941|
|How To Fight Islamist Terror From The Missionary Position|http://img5.flixcart.com/image/book/2/2/5/how-to-fight-islamist-terror-from-the-missionary-position-275x275-imad87sr7xpqfhgp.jpeg|Tabish Khair#Books%Literature and Fiction%Crime#9350293226#9789350293225#Hardcover#2012#Fourth Estate#N.A.#English|9350293226|9789350293225|
|The Armageddon Rag|http://img8.flixcart.com/img/542/9780575129542.jpg|George R. R. Martin#Books%Literature and Fiction%Mystery and Detective#0575129549#9780575129542#Paperback#2012#Hachette India/Orion-Gollancz#N.A.#English|0575129549|9780575129542|
|Corporate Chanakya on Leadership (With CD)|http://img5.flixcart.com/image/book/0/7/7/corporate-chanakya-on-leadership-with-audio-book-275x275-imad84fxp54beftb.jpeg|Radhakrishnan Illai#Books%Business%Investing and Management%Leadership#8184953070#9788184953077#Paperback#2012#Jaico Publishing House#1stEdition#English|8184953070|9788184953077|
|The Moscow Option|http://img6.flixcart.com/image/book/5/3/8/the-moscow-option-275x275-imad8z8gertdgmaz.jpeg|Jeremy Duns#Books%Literature and Fiction%Others%War and Military#1847394531#9781847394538#Paperback#2012#Simon And Schuster India#N.A.#English|1847394531|9781847394538|
|QC 10, QTP 10 And Automation Framework|http://img5.flixcart.com/image/book/6/1/8/qc-10-qtp-10-and-automation-framework-275x275-imad7yrxnquwwh2m.jpeg|Saurabh Chandra#Books%Computers and Internet%Software Development and Engineering%Quality Assurance and Testing#1259002616#9781259002618#Paperback#2012#Tata McGraw Hill Education Pvt Ltd.#1stEdition#English|1259002616|9781259002618|
|Self Power: The Spiritual Solutions to Life\'s Greatest\nChallenges|http://img7.flixcart.com/image/book/8/6/7/self-power-the-spiritual-solutions-to-life-s-greatest-nchallenges-275x275-imad7vggzkbeu63f.jpeg|Deepak Chopra#Books%Self-Help%Spiritual#1846042860#9781846042867#Paperback#2012#Rider#N.A.#English|1846042860|9781846042867|
