|It Happened That Night: A Tale Of Love, Deceit And Murder|http://img5.flixcart.com/img/008/9789380349008.jpg|Akash Verma#N.A.#9380349008#9789380349008#Paperback#2010#Srishti Publishers & Distributors#N.A.#English|9380349008|9789380349008|
|Nothing For You My Dear Still I Love You....!|http://img8.flixcart.com/img/749/9788188575749.jpg|Arpit Dugar#Books%Literature and Fiction%Literary Collections%Literary#8188575747#9788188575749#Paperback#2009#Srishti Publishers & Distributors#N.A.#English|8188575747|9788188575749|
|Right Fit Wrong Shoe|http://img7.flixcart.com/img/232/9788129115232.jpg|Varsha Dixit#Books%Literature and Fiction%Romance%Contemporary#8129115239#9788129115232#Paperback#2009#Rupa & Co#N.A.#English|8129115239|9788129115232|
|1Q84: Books 1, 2 and 3|http://img5.flixcart.com/img/497/9781846555497.jpg|Haruki Murakami#Books%Literature and Fiction%Literary Collections%Literary#1846555493#9781846555497#Hardcover#2011#Harvill Secker#N.A.#English|1846555493|9781846555497|
|Not A Penny More, Not A Penny Less / Honour Among Thieves (2 In 1)|http://img7.flixcart.com/img/774/9780330457774.jpg|Jeffrey Archer#N.A.#0330457772#9780330457774#Paperback#N.A.#PAN BOOKS LTD#N.A.#English|0330457772|9780330457774|
|Ek Prem Kahani Meri Bhi|http://img8.flixcart.com/img/224/9780143417224.jpg|Ravinder Singh#Books%Literature and Fiction%Romance#0143417223#9780143417224#Paperback#2011#Penguin#N.A.#Hindi|0143417223|9780143417224|
|Last Man in Tower|http://img7.flixcart.com/img/842/9789350290842.jpg|Aravind Adiga#Books%Literature and Fiction%Drama%General#9350290847#9789350290842#Hardcover#2011#Harper Collins India#N.A.#English|9350290847|9789350290842|
|Safe Haven|http://img7.flixcart.com/img/001/9780751543001.jpg|Nicholas Sparks#Books%Literature and Fiction%General#0751543004#9780751543001#Paperback#2011#Sphere#N.A.#English|0751543004|9780751543001|
|Single in the City (OM)|http://img5.flixcart.com/img/296/9789380069296.jpg|Sushmita Bose#Books%Literature and Fiction%Urban Life#9380069296#9789380069296#Paperback#2010#Om Book International#N.A.#N.A.|9380069296|9789380069296|
|Delhi OMG!|http://img8.flixcart.com//image/book/6/8/1/delhi-omg-275x275-imad7ngccmzugu2b.jpeg|Vinod Nair#Books%Literature and Fiction%Biographical#9380070681#9789380070681#Paperback#2012#Om Books International#N.A.#English|9380070681|9789380070681|
|The Calcutta Chromosome: A Novel Of Fevers, Delirium And Discovery|http://img5.flixcart.com/image/book/5/5/2/the-calcutta-chromosome-a-novel-of-fevers-delirium-and-discovery-275x275-imad85hztba3eevh.jpeg|Amitav Ghosh#Books%Literature and Fiction%Literary Collections%General#0143066552#9780143066552#Paperback#2009#Penguin Books#1stEdition#English|0143066552|9780143066552|
|Classic Sherlock Holmes|http://img7.flixcart.com/img/600/9780143068600.jpg|Arthur Conan Doyle#Books%Literature and Fiction%Classics#0143068601#9780143068600#Paperback#2010#Penguin Books India#N.A.#English|0143068601|9780143068600|
|Ouch! That \'Hearts\'..|http://img5.flixcart.com/img/404/9789380349404.jpg|Harsh Snehanshu#Books%Literature and Fiction%Romance%Contemporary#9380349404#9789380349404#N.A.#2011# srishti Publishers & Distributors  #N.A.#English|9380349404|9789380349404|
|The Five People You Meet In Heaven|http://img7.flixcart.com//image/book/1/4/0/the-five-people-you-meet-in-heaven-275x275-imad6urgwdhcbsh9.jpeg|Mitch Albom#Books%Literature and Fiction%General#0751536148#9780751536140#Paperback#2004#Little, Brown Company#1stEdition#English|0751536148|9780751536140|
|The Idiot-Dudes...I Opted the Second Option!!!|http://img8.flixcart.com/img/282/9789380349282.jpg|Sreeram#Books%Literature and Fiction#9380349282#9789380349282#Paperback#2011#Srishti Publisher#N.A.#English|9380349282|9789380349282|
|Nothing Lasts Forever: No Secret can Stay Buried..|http://img6.flixcart.com/img/244/9789380349244.jpg|Vish Dhamija#N.A.#9380349244#9789380349244#Paperback#2010#Srishti Publishers#N.A.#English|9380349244|9789380349244|
|Dancing With Maharaja|http://img6.flixcart.com/img/510/9789380349510.jpg|Sundar#Books%Literature and Fiction%Biographical#9380349510#9789380349510#Paperback#2012#Srishti Publishers & Distributors#N.A.#English|9380349510|9789380349510|
|Little Women|http://img7.flixcart.com/img/567/9780140623567.jpg|Louisa May Alcott#Books%Literature and Fiction%General#0140623566#9780140623567#Paperback#2011#Penguin Popular Classics#01#English|0140623566|9780140623567|
|Keep The Change|http://img6.flixcart.com/img/428/9788172239428.jpg|Nirupama Subramanian#Books%Literature and Fiction%Contemporary Women#8172239424#9788172239428#Paperback#2010#Harper Collins Publishers#N.A.#English|8172239424|9788172239428|
|Johnny Gone Down|http://img6.flixcart.com//image/book/8/6/8/johnny-gone-down-275x275-imad7qyyphgpggzh.jpeg|Karan Bajaj#Books%Literature and Fiction%Action and Adventure#8172237863#9788172237868#Paperback#2010#Harper Collins#N.A.#English|8172237863|9788172237868|
|Dollar Bahu|http://img6.flixcart.com/img/769/9780143103769.jpg|Sudha Murthy#Books%Literature and Fiction%Others%Family Life#0143103768#9780143103769#Paperback#2007#Penguin#01#English|0143103768|9780143103769|
|The Importance Of Being Earnest|http://img6.flixcart.com/img/451/9780140623451.jpg|Oscar Wilde#Books%Literature and Fiction%Drama%English%Irish%Scottish%Welsh#0140623450#9780140623451#Paperback#2010#Penguin Books#01#English|0140623450|9780140623451|
